Source,ZEB1_H,ZEB1,U_Kinetochores,Twist,TGFb_secr,SNAI2,SNAI1,Replication,Rac1,pRB,Plk1_H,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,Mad2,LEF1,IQGAP1_LeadingE,Horizontal_Pol,Fast_Migration,f4N_DNA,Ect2,Ecadherin_mRNA,E2F1,Cytokinesis,CyclinE,CyclinD1,CHK1,b_catenin_TCF4,ATR,A_Kinetochores
ZEB1_H,0.9,0.9,0,0.9,0.9,0.9,1,0,0.9,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,0,1,0.8,0.7,0.7,0,0,-1,0,0,0,0,0,0.9,0,0
ZEB1,1,0.9,0,0.9,0.9,0.9,1,0,0.9,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,0,1,0.8,0.7,0.7,0,0,-1,0,0,0,0,0,0.9,0,0
U_Kinetochores,-0.16666666666666666,-0.03333333333333333,0.0019679464507418873,0,0,-0.2,-0.1,-0.25234399563876647,0.1,-0.2822222222222222,0,0,-0.2777777777777778,-0.275,-0.2647058823529412,0.2,0.1,-0.16666666666666666,0,-0.032333010762303695,0,0,0,0,0.20311067490986848,-0.2123790072600124,0.1,0.2,-0.21703532655047802,0.32772727272727276,0.3383333333333333,-0.27878787878787875,-0.2,-0.2626306735477041,0.2600929480196952
Twist,0.9,0.9,0,0.7,0.9,1,0.8,0,0.9,0,0,0.8,0,0,0.9,0,-0.8,-1,-0.7,0,0.9,0.8,0.7,0.7,0,0,-1,0,0,0,0,0,0.9,0,0
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAI2,1,1,0,0.8,0.9,1,0.9,0,0.8,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0.9,0.7,0.6,0.6,0,0,-1,0,0,0,0,0,1,0,0
SNAI1,0.9,0.9,0,1,0.9,0.9,0.9,0,0.9,0,0,0.8,0,0,0.9,0,-0.9,-1,-0.7,0,0.9,0.8,0.7,0.7,0,0,-1,0,0,0,0,0,0.9,0,0
Replication,0.23480249241761655,0.14783751377276558,0.09516256080999136,0.20242621763534313,0.07225330225330226,0.34922553056699396,0.22440817218322562,-0.11646614621878755,-0.0698868677905945,0.5084996956243375,0,-0.08315217391304348,0.49927077930594554,0.4859241777777874,0.39753657701747097,-0.4824717051377513,-0.2293990745381179,0.12422119672091345,0.09565217391304348,-0.07682086093501506,0.060455169919298654,-0.088,-0.1,-0.1162962962962963,0.1662025705270213,0.05387341397472142,-0.25426925550858914,-0.49141052257509443,0.05638345413536398,-0.5389122255865523,-0.5639607898315947,0.02675053204017207,0.3747784484685893,0.004720294459178551,0.2456918328808247
Rac1,0.7,0.7,0,0.8,0.7,0.7,0.8,0,0.8,0,0,0.8,0,0,0.7,0,-0.7,-0.8,-0.7,0,0.7,0.9,0.8,0.8,0,0,-0.8,0,0,0,0,0,0.7,0,0
pRB,0.3316138986963226,0.22286881592505678,-0.2566132839715357,0.27937035160532125,0.12076412611342417,0.4941390534284313,0.30465646162775323,-0.6335087657655085,-0.05350265287948136,0.8581206457214103,0,-0.07071697362494482,0.8550492128514631,0.8490150400132711,0.6208348290079131,-0.9781437768273344,-0.3120362048063905,0.13414340070227487,0.0858531357528739,0.09643452908863097,0.1063109960569519,-0.0765942984875995,-0.09123715563045665,-0.10917147229874499,-0.5724497962255924,-0.14485557734161003,-0.34905433884562137,-0.9802167250260453,-0.14031937495719596,-0.9334321078112641,-0.9452299520243761,-0.523876030349052,0.5394091326565355,-0.5796904429847874,-0.474751315687617
